Genes,1_24h_inf,1_2d_inf,1_3h_inf,1_3h_un,2_24h_inf,2_2d_inf,2_3h_inf,2_3h_un,3_24h_inf,3_3h_inf,3_3h_un
AC018442.2,0,0,0,4,0,0,0,0,0,0,0
MTND1P11,0,0,0,4,0,0,0,0,0,0,0
RNF152P1,0,0,0,4,0,0,0,0,0,0,0
MTND4LP7,0,0,0,4,0,0,0,0,0,0,0
AHCYP2,0,0,0,4,0,0,0,0,0,0,0
MRGPRE,0,0,0,4,0,0,0,0,0,0,0
OR55B1P,0,0,0,4,0,0,0,0,0,0,0
RNU7-23P,0,0,0,4,0,0,0,0,0,0,0
RNA5SP344,0,0,0,4,0,0,0,0,0,0,0
C1DP5,0,0,0,4,0,0,0,0,0,0,0
AP002967.1,0,0,0,4,0,0,0,0,0,0,0
AP000659.1,0,0,0,4,0,0,0,0,0,0,0
AP001804.1,0,0,0,4,0,0,0,0,0,0,0
IDI2,0,0,0,4,0,0,0,0,0,0,0
COX6CP17,0,0,0,4,0,0,0,0,0,0,0
AL356157.3,0,0,0,4,0,0,0,0,0,0,0
RNU6-805P,0,0,0,4,0,0,0,0,0,0,0
AL139241.1,0,0,0,4,0,0,0,0,0,0,0
LINC00867,0,0,0,4,0,0,0,0,0,0,0
RPL31P50,0,0,0,4,0,0,0,0,0,0,0
RN7SL246P,0,0,0,4,0,0,0,0,0,0,0
LINC02401,0,0,0,4,0,0,0,0,0,0,0
AC004217.2,0,0,0,4,0,0,0,0,0,0,0
RNU7-170P,0,0,0,4,0,0,0,0,0,0,0
AL159159.1,0,0,0,4,0,0,0,0,0,0,0
AL359706.1,0,0,0,4,0,0,0,0,0,0,0
MIR623,0,0,0,4,0,0,0,0,0,0,0
SNORD58,0,0,0,4,0,0,0,0,0,0,0
AL591767.1,0,0,0,4,0,0,0,0,0,0,0
AL161757.2,0,0,0,4,0,0,0,0,0,0,0
AL122013.1,0,0,0,4,0,0,0,0,0,0,0
AC005230.1,0,0,0,4,0,0,0,0,0,0,0
AC009268.3,0,0,0,4,0,0,0,0,0,0,0
AC021822.1,0,0,0,4,0,0,0,0,0,0,0
MTND5P32,0,0,0,4,0,0,0,0,0,0,0
AC087632.2,0,0,0,4,0,0,0,0,0,0,0
HNRNPA1P5,0,0,0,4,0,0,0,0,0,0,0
CRAT37,0,0,0,4,0,0,0,0,0,0,0
AC069029.1,0,0,0,4,0,0,0,0,0,0,0
RNA5SP402,0,0,0,4,0,0,0,0,0,0,0
AC136603.1,0,0,0,4,0,0,0,0,0,0,0
AC134312.3,0,0,0,4,0,0,0,0,0,0,0
AC087163.2,0,0,0,4,0,0,0,0,0,0,0
AC243830.1,0,0,0,4,0,0,0,0,0,0,0
RN7SL405P,0,0,0,4,0,0,0,0,0,0,0
TBX2-AS1,0,0,0,4,0,0,0,0,0,0,0
COX6CP3,0,0,0,4,0,0,0,0,0,0,0
AP002478.2,0,0,0,4,0,0,0,0,0,0,0
AC016866.2,0,0,0,4,0,0,0,0,0,0,0
AC100778.1,0,0,0,4,0,0,0,0,0,0,0
AC006305.1,0,0,0,4,0,0,0,0,0,0,0
AC125437.3,0,0,0,4,0,0,0,0,0,0,0
LINC01752,0,0,0,4,0,0,0,0,0,0,0
RNA5SP462,0,0,0,4,0,0,0,0,0,0,0
AC005786.1,0,0,0,4,0,0,0,0,0,0,0
BNIP3P37,0,0,0,4,0,0,0,0,0,0,0
IGFL2-AS1,0,0,0,4,0,0,0,0,0,0,0
AC020915.4,0,0,0,4,0,0,0,0,0,0,0
AC000041.1,0,0,0,4,0,0,0,0,0,0,0
JTBP1,0,0,0,4,0,0,0,0,0,0,0
HMGN2P9,0,0,0,4,0,0,0,0,0,0,0
SNORA80A,0,0,0,4,0,0,0,0,0,0,0
COL18A1-AS1,0,0,0,4,0,0,0,0,0,0,0
MYOZ2,0,0,0,0,0,14,0,0,0,2,0
RAB40AL,0,0,0,0,0,1,0,0,0,6,0
LINC02572,0,2,0,0,0,10,0,0,0,0,0
AC004828.2,0,2,0,0,0,10,0,0,0,0,0
CHRM4,0,0,0,0,0,8,0,1,0,0,0
OR7E25P,0,0,0,0,0,8,0,1,0,0,0
MIR137HG,0,0,0,0,0,2,0,0,0,6,0
BCL2L10,0,0,0,0,0,2,0,0,0,6,0
AC005336.1,0,0,0,0,0,9,0,0,0,4,0
AC010632.1,0,0,0,0,0,9,0,0,0,4,0
IL1RAPL2,0,1,0,0,0,0,0,1,0,1,0
AL627309.2,0,0,0,1,0,6,0,0,0,0,0
OR7E36P,0,0,0,1,0,6,0,0,0,0,0
GOLGA6L3,0,0,0,0,0,2,0,3,0,0,0
AC092807.3,0,4,0,0,0,0,0,0,0,0,0
AC010105.1,0,4,0,0,0,0,0,0,0,0,0
AC006058.3,0,4,0,0,0,0,0,0,0,0,0
AC068631.1,0,4,0,0,0,0,0,0,0,0,0
CR545473.1,0,4,0,0,0,0,0,0,0,0,0
AC116317.2,0,4,0,0,0,0,0,0,0,0,0
RN7SKP237,0,4,0,0,0,0,0,0,0,0,0
AC091979.1,0,4,0,0,0,0,0,0,0,0,0
SELENOKP3,0,4,0,0,0,0,0,0,0,0,0
BTBD10P2,0,4,0,0,0,0,0,0,0,0,0
AC023669.1,0,4,0,0,0,0,0,0,0,0,0
AC008163.1,0,4,0,0,0,0,0,0,0,0,0
AF228730.2,0,4,0,0,0,0,0,0,0,0,0
PI15,0,4,0,0,0,0,0,0,0,0,0
LINC01514,0,4,0,0,0,0,0,0,0,0,0
WASF3-AS1,0,4,0,0,0,0,0,0,0,0,0
LINC02303,0,4,0,0,0,0,0,0,0,0,0
GSC,0,4,0,0,0,0,0,0,0,0,0
AC015914.2,0,4,0,0,0,0,0,0,0,0,0
LINC02152,0,4,0,0,0,0,0,0,0,0,0
HMGN1P28,0,4,0,0,0,0,0,0,0,0,0
AC007731.5,0,4,0,0,0,0,0,0,0,0,0
AL049747.1,0,4,0,0,0,0,0,0,0,0,0
AJ239328.1,0,4,0,0,0,0,0,0,0,0,0
AC133961.1,0,0,0,0,0,3,0,0,0,6,0
AL513534.2,0,2,0,0,0,12,0,0,0,0,0
AC068620.3,0,0,0,2,0,1,0,1,0,0,0
AC007342.1,0,0,0,1,0,0,0,0,0,2,0
SRGAP2D,0,0,0,2,0,2,0,0,0,0,0
PFN1P6,0,0,0,2,0,2,0,0,0,0,0
RNA5SP151,0,0,0,2,0,2,0,0,0,0,0
POU3F2,0,0,0,2,0,2,0,0,0,0,0
AC073107.2,0,0,0,2,0,2,0,0,0,0,0
AP003354.1,0,0,0,2,0,2,0,0,0,0,0
MIR181A2,0,0,0,2,0,2,0,0,0,0,0
AC084757.3,0,0,0,2,0,2,0,0,0,0,0
MIR5587,0,0,0,2,0,2,0,0,0,0,0
AC133552.4,0,0,0,2,0,2,0,0,0,0,0
RNU6-9,0,0,0,2,0,2,0,0,0,0,0
GOLGA8S,0,0,0,0,0,6,0,1,0,1,0
AL499602.1,0,2,0,0,0,10,0,0,0,1,0
CYMP-AS1,0,4,0,0,0,2,0,0,0,0,0
KNOP1P3,0,4,0,0,0,2,0,0,0,0,0
AL049838.1,0,4,0,0,0,2,0,0,0,0,0
PPIAP3,0,4,0,0,0,2,0,0,0,0,0
USP12PY,0,2,0,0,0,7,0,0,0,2,0
AC010880.1,0,0,0,0,0,0,0,8,0,0,0
RNU6-30P,0,0,0,0,0,0,0,8,0,0,0
AC012213.4,0,0,0,0,0,0,0,8,0,0,0
RN7SL733P,0,0,0,0,0,0,0,8,0,0,0
AC078925.4,0,0,0,0,0,0,0,8,0,0,0
GOLGA2P11,0,0,0,0,0,0,0,8,0,0,0
AC015720.1,0,0,0,0,0,0,0,8,0,0,0
AC243773.2,0,0,0,0,0,0,0,8,0,0,0
MIR5684,0,0,0,0,0,0,0,8,0,0,0
AC011452.3,0,0,0,0,0,0,0,8,0,0,0
TNNI3,0,0,0,0,0,0,0,8,0,0,0
AC004461.2,0,0,0,0,0,0,0,8,0,0,0
RNU2-70P,0,2,0,0,0,14,0,0,0,0,0
AC130709.1,0,0,0,5,0,0,0,0,0,0,0
PPIAP69,0,0,0,5,0,0,0,0,0,0,0
PDE6B-AS1,0,0,0,5,0,0,0,0,0,0,0
AC110795.1,0,0,0,5,0,0,0,0,0,0,0
RNU6-469P,0,0,0,5,0,0,0,0,0,0,0
MIR4280,0,0,0,5,0,0,0,0,0,0,0
AP002884.3,0,0,0,5,0,0,0,0,0,0,0
AC009060.1,0,0,0,5,0,0,0,0,0,0,0
AC008993.1,0,0,0,5,0,0,0,0,0,0,0
Z82190.1,0,0,0,5,0,0,0,0,0,0,0
CU638689.4,0,0,0,5,0,0,0,0,0,0,0
CFHR1,0,4,0,0,0,3,0,0,0,0,0
SRMS,0,0,0,0,0,5,0,2,0,0,0
SHC1P2,0,0,0,0,0,2,0,2,0,1,0
AF064858.3,0,0,0,2,0,0,0,0,0,1,0
AL035417.2,0,0,0,0,0,0,0,0,0,8,0
CYCSP51,0,0,0,0,0,0,0,0,0,8,0
RNA5SP115,0,0,0,0,0,0,0,0,0,8,0
AC007029.1,0,0,0,0,0,0,0,0,0,8,0
RNU6-1321P,0,0,0,0,0,0,0,0,0,8,0
AP003117.2,0,0,0,0,0,0,0,0,0,8,0
KCNS2,0,0,0,0,0,0,0,0,0,8,0
BANCR,0,0,0,0,0,0,0,0,0,8,0
AL162584.1,0,0,0,0,0,0,0,0,0,8,0
PAEPP1,0,0,0,0,0,0,0,0,0,8,0
ANXA8L1,0,0,0,0,0,0,0,0,0,8,0
AL590502.1,0,0,0,0,0,0,0,0,0,8,0
MIR4678,0,0,0,0,0,0,0,0,0,8,0
AC022144.1,0,0,0,0,0,0,0,0,0,8,0
ADGRA1,0,0,0,4,0,0,0,2,0,0,0
AC016396.1,0,4,0,0,0,4,0,0,0,0,0
AC013652.1,0,4,0,0,0,4,0,0,0,0,0
AC091544.3,0,4,0,0,0,4,0,0,0,0,0
AC067969.1,0,4,0,0,0,4,0,0,0,0,0
LINC01872,0,4,0,0,0,4,0,0,0,0,0
AL928646.1,0,0,0,3,0,1,0,0,0,0,0
PPARGC1A,0,0,0,0,0,7,0,1,0,1,0
AC023421.2,0,2,0,0,0,16,0,0,0,0,0
AC010326.1,0,2,0,0,0,16,0,0,0,0,0
MIR6069,0,0,0,0,0,1,0,0,0,8,0
AC138649.2,0,4,0,0,0,5,0,0,0,0,0
LINC02421,0,0,0,0,0,8,0,0,0,6,0
INO80-AS1,0,0,0,0,0,8,0,0,0,6,0
COX7A2P1,0,2,0,0,0,17,0,0,0,0,0
LINC02465,0,0,0,0,0,0,0,9,0,0,0
AC105046.1,0,0,0,0,0,0,0,9,0,0,0
MIR4520-1,0,0,0,0,0,0,0,9,0,0,0
UPK1A,0,2,0,0,0,0,0,1,0,0,0
PRR20G,0,0,0,0,0,2,0,0,0,8,0
AC104852.1,0,0,0,0,0,2,0,0,0,8,0
FBXW12,0,0,0,0,0,11,0,1,0,0,0
AC107421.1,0,0,0,0,0,11,0,1,0,0,0
LINC02695,0,4,0,0,0,6,0,0,0,0,0
RFPL1,0,4,0,0,0,6,0,0,0,0,0
BOLA2B,0,0,0,2,0,0,0,6,0,0,0
AC006213.3,0,0,0,0,0,22,0,12,0,4,0
EEF1A1P32,0,0,0,2,0,4,0,0,0,0,0
ZKSCAN7-AS1,0,0,0,2,0,4,0,0,0,0,0
MIR4644,0,0,0,2,0,4,0,0,0,0,0
AC021876.1,0,0,0,2,0,4,0,0,0,0,0
AC004491.1,0,0,0,2,0,4,0,0,0,0,0
AC002463.1,0,0,0,2,0,4,0,0,0,0,0
AC027250.1,0,0,0,2,0,4,0,0,0,0,0
AC026894.1,0,0,0,2,0,4,0,0,0,0,0
AC023796.2,0,0,0,2,0,4,0,0,0,0,0
AC084018.2,0,0,0,2,0,4,0,0,0,0,0
RN7SL316P,0,0,0,2,0,4,0,0,0,0,0
AC025918.1,0,0,0,2,0,3,0,0,0,0,0
AC134312.1,0,0,0,2,0,3,0,0,0,0,0
DTX3,0,0,0,0,0,6,0,2,0,0,0
LINC01679,0,0,0,0,0,6,0,2,0,0,0
AC005726.1,0,0,0,0,0,2,0,4,0,0,0
LINC02195,0,0,0,0,0,4,0,0,0,8,0
LRRC8E,0,0,0,0,0,4,0,0,0,8,0
PRSS56,0,0,0,0,0,0,0,2,0,2,0
ADGRL3,0,0,0,0,0,0,0,2,0,2,0
OR4S2,0,0,0,0,0,0,0,2,0,2,0
KCNA5,0,0,0,0,0,0,0,2,0,2,0
GOLGA8CP,0,0,0,0,0,0,0,2,0,2,0
RNU6-537P,0,0,0,6,0,0,0,0,0,0,0
MIR1290,0,0,0,6,0,0,0,0,0,0,0
AL139286.2,0,0,0,6,0,0,0,0,0,0,0
RNU6-608P,0,0,0,6,0,0,0,0,0,0,0
RPL23AP17,0,0,0,6,0,0,0,0,0,0,0
AL445933.2,0,0,0,6,0,0,0,0,0,0,0
NENFP1,0,0,0,6,0,0,0,0,0,0,0
DAB1-AS1,0,0,0,6,0,0,0,0,0,0,0
AC097063.1,0,0,0,6,0,0,0,0,0,0,0
DPYD-IT1,0,0,0,6,0,0,0,0,0,0,0
AL356488.1,0,0,0,6,0,0,0,0,0,0,0
PFN1P8,0,0,0,6,0,0,0,0,0,0,0
BX470102.2,0,0,0,6,0,0,0,0,0,0,0
AL031736.1,0,0,0,6,0,0,0,0,0,0,0
AL136988.2,0,0,0,6,0,0,0,0,0,0,0
RNU7-113P,0,0,0,6,0,0,0,0,0,0,0
MYADML,0,0,0,6,0,0,0,0,0,0,0
AC107081.2,0,0,0,6,0,0,0,0,0,0,0
SRMP3,0,0,0,6,0,0,0,0,0,0,0
AC010974.2,0,0,0,6,0,0,0,0,0,0,0
MTND5P24,0,0,0,6,0,0,0,0,0,0,0
ANKRD44-AS1,0,0,0,6,0,0,0,0,0,0,0
RN7SL717P,0,0,0,6,0,0,0,0,0,0,0
AC069271.1,0,0,0,6,0,0,0,0,0,0,0
SETP6,0,0,0,6,0,0,0,0,0,0,0
AC021660.1,0,0,0,6,0,0,0,0,0,0,0
TEX55,0,0,0,6,0,0,0,0,0,0,0
DUTP1,0,0,0,6,0,0,0,0,0,0,0
SNORA58,0,0,0,6,0,0,0,0,0,0,0
TRIM42,0,0,0,6,0,0,0,0,0,0,0
AC024560.5,0,0,0,6,0,0,0,0,0,0,0
AC099340.1,0,0,0,6,0,0,0,0,0,0,0
MIR5706,0,0,0,6,0,0,0,0,0,0,0
GPR151,0,0,0,6,0,0,0,0,0,0,0
RNA5SP198,0,0,0,6,0,0,0,0,0,0,0
AC024561.1,0,0,0,6,0,0,0,0,0,0,0
KRT8P43,0,0,0,6,0,0,0,0,0,0,0
AL645939.3,0,0,0,6,0,0,0,0,0,0,0
Z97832.1,0,0,0,6,0,0,0,0,0,0,0
MIR4642,0,0,0,6,0,0,0,0,0,0,0
AL138880.1,0,0,0,6,0,0,0,0,0,0,0
RPS16P5,0,0,0,6,0,0,0,0,0,0,0
RPL21P65,0,0,0,6,0,0,0,0,0,0,0
PACRG-AS1,0,0,0,6,0,0,0,0,0,0,0
SNORD65C,0,0,0,6,0,0,0,0,0,0,0
RNA5SP237,0,0,0,6,0,0,0,0,0,0,0
HRAT17,0,0,0,6,0,0,0,0,0,0,0
AC005692.3,0,0,0,6,0,0,0,0,0,0,0
S100G,0,0,0,6,0,0,0,0,0,0,0
MIR766,0,0,0,6,0,0,0,0,0,0,0
RPS26P56,0,0,0,6,0,0,0,0,0,0,0
PPIAP91,0,0,0,6,0,0,0,0,0,0,0
AC108449.1,0,0,0,6,0,0,0,0,0,0,0
AC018620.1,0,0,0,6,0,0,0,0,0,0,0
AL136979.1,0,0,0,6,0,0,0,0,0,0,0
MTND5P14,0,0,0,6,0,0,0,0,0,0,0
SCARNA8,0,0,0,6,0,0,0,0,0,0,0
AL807761.4,0,0,0,6,0,0,0,0,0,0,0
DEFB108B,0,0,0,6,0,0,0,0,0,0,0
AP001486.1,0,0,0,6,0,0,0,0,0,0,0
RPS26P41,0,0,0,6,0,0,0,0,0,0,0
KLRF1,0,0,0,6,0,0,0,0,0,0,0
AC093012.1,0,0,0,6,0,0,0,0,0,0,0
RNU4-41P,0,0,0,6,0,0,0,0,0,0,0
AC008055.2,0,0,0,6,0,0,0,0,0,0,0
AC068790.1,0,0,0,6,0,0,0,0,0,0,0
AC073912.2,0,0,0,6,0,0,0,0,0,0,0
AL139021.1,0,0,0,6,0,0,0,0,0,0,0
RPS8P10,0,0,0,6,0,0,0,0,0,0,0
AC022613.3,0,0,0,6,0,0,0,0,0,0,0
ASB9P1,0,0,0,6,0,0,0,0,0,0,0
AC007151.1,0,0,0,6,0,0,0,0,0,0,0
AC023830.2,0,0,0,6,0,0,0,0,0,0,0
PKD1P1,0,0,0,6,0,0,0,0,0,0,0
AC009093.5,0,0,0,6,0,0,0,0,0,0,0
AC040162.2,0,0,0,6,0,0,0,0,0,0,0
RN7SL520P,0,0,0,6,0,0,0,0,0,0,0
AC108097.1,0,0,0,6,0,0,0,0,0,0,0
MIR7854,0,0,0,6,0,0,0,0,0,0,0
PIRT,0,0,0,6,0,0,0,0,0,0,0
RNF157-AS1,0,0,0,6,0,0,0,0,0,0,0
AC127496.3,0,0,0,6,0,0,0,0,0,0,0
AC129510.2,0,0,0,6,0,0,0,0,0,0,0
AP001178.3,0,0,0,6,0,0,0,0,0,0,0
AP000897.1,0,0,0,6,0,0,0,0,0,0,0
AC120349.3,0,0,0,6,0,0,0,0,0,0,0
TCF4-AS1,0,0,0,6,0,0,0,0,0,0,0
AL050320.1,0,0,0,6,0,0,0,0,0,0,0
AL031668.1,0,0,0,6,0,0,0,0,0,0,0
AC092364.1,0,0,0,6,0,0,0,0,0,0,0
VN1R96P,0,0,0,6,0,0,0,0,0,0,0
PSG8-AS1,0,0,0,6,0,0,0,0,0,0,0
LINC01644,0,0,0,6,0,0,0,0,0,0,0
LINC01690,0,0,0,6,0,0,0,0,0,0,0
AC020604.1,0,4,0,0,0,8,0,0,0,0,0
AC009501.1,0,0,0,0,0,0,0,10,0,0,0
RNY4P7,0,0,0,0,0,0,0,10,0,0,0
AL359378.1,0,0,0,0,0,0,0,10,0,0,0
AC006970.2,0,0,0,0,0,0,0,10,0,0,0
FEZF1-AS1,0,0,0,0,0,0,0,10,0,0,0
LINC00293,0,0,0,0,0,0,0,10,0,0,0
AL358937.1,0,0,0,0,0,0,0,10,0,0,0
AC105137.1,0,0,0,0,0,0,0,10,0,0,0
RN7SL153P,0,0,0,0,0,12,0,0,0,6,0
AP000688.1,0,0,0,0,0,12,0,0,0,6,0
AC091231.1,0,1,0,0,0,0,0,0,0,8,0
AC023034.1,0,0,0,0,0,6,0,0,0,8,0
RPL36AP43,0,0,0,0,0,20,0,0,0,4,0
AC013480.1,0,0,0,0,0,0,0,0,0,10,0
AC092053.2,0,0,0,0,0,0,0,0,0,10,0
AL135924.1,0,0,0,0,0,0,0,0,0,10,0
OR7E14P,0,0,0,0,0,0,0,0,0,10,0
AC130448.1,0,0,0,0,0,0,0,0,0,10,0
AC110602.1,0,0,0,0,0,0,0,0,0,10,0
ACTBP14,0,0,0,6,0,0,0,1,0,0,0
TONSL-AS1,0,2,0,0,0,23,0,0,0,0,0
CACNA1C-AS1,0,2,0,0,0,4,0,0,0,6,0
BRINP2,0,0,0,0,0,0,0,1,0,4,0
LINC01204,0,0,0,0,0,8,0,0,0,8,0
AL596276.2,0,6,0,0,0,0,0,0,0,0,0
AC012358.2,0,6,0,0,0,0,0,0,0,0,0
LINC01935,0,6,0,0,0,0,0,0,0,0,0
SUMO2P10,0,6,0,0,0,0,0,0,0,0,0
AC024560.1,0,6,0,0,0,0,0,0,0,0,0
AC080078.1,0,6,0,0,0,0,0,0,0,0,0
FGF18,0,6,0,0,0,0,0,0,0,0,0
AC003084.1,0,6,0,0,0,0,0,0,0,0,0
NOVA1,0,6,0,0,0,0,0,0,0,0,0
AC013553.4,0,6,0,0,0,0,0,0,0,0,0
LINC01929,0,6,0,0,0,0,0,0,0,0,0
AL035419.1,0,6,0,0,0,0,0,0,0,0,0
AC010618.1,0,6,0,0,0,0,0,0,0,0,0
CHIAP2,0,0,0,0,0,0,0,11,0,0,0
AL356108.1,0,0,0,0,0,0,0,11,0,0,0
AL159163.1,0,0,0,0,0,0,0,11,0,0,0
AP005264.7,0,0,0,0,0,2,0,0,0,10,0
PPP1R2P6,0,6,0,0,0,1,0,0,0,0,0
ZNF29P,0,6,0,0,0,1,0,0,0,0,0
AC004449.1,0,6,0,0,0,1,0,0,0,0,0
RNU1-16P,0,0,0,4,0,1,0,0,0,0,0
HNRNPA1P71,0,0,0,4,0,1,0,0,0,0,0
CYCSP40,0,0,0,4,0,1,0,0,0,0,0
LGALS7B,0,0,0,4,0,1,0,0,0,0,0
APOBEC4,0,0,0,7,0,0,0,0,0,0,0
AC016722.1,0,0,0,7,0,0,0,0,0,0,0
AC008680.1,0,0,0,7,0,0,0,0,0,0,0
AL512430.2,0,0,0,7,0,0,0,0,0,0,0
AC021915.1,0,0,0,7,0,0,0,0,0,0,0
AP000487.2,0,0,0,7,0,0,0,0,0,0,0
RN7SL864P,0,0,0,7,0,0,0,0,0,0,0
AC005237.1,0,0,0,0,0,14,0,1,0,0,0
PIWIL3,0,0,0,0,0,14,0,1,0,0,0
PCYT1B,0,0,0,1,0,0,0,10,0,0,0
LINC01848,0,0,0,0,0,4,0,4,0,0,0
AL118511.1,0,0,0,3,0,2,0,0,0,0,0
AC092819.1,0,4,0,0,0,14,0,0,0,0,0
GJB5,0,0,0,0,0,8,0,2,0,0,0
AL359643.1,0,0,0,0,0,8,0,2,0,0,0
TPTE2,0,0,0,0,0,8,0,2,0,0,0
AC012625.1,0,2,0,1,0,0,0,0,0,0,0
AL353576.1,0,0,0,22,0,1,0,0,0,0,0
AC011491.3,0,6,0,0,0,3,0,0,0,0,0
AC092839.1,0,0,0,0,0,0,0,12,0,0,0
AC019206.1,0,0,0,0,0,0,0,12,0,0,0
RPL35AP4,0,0,0,0,0,0,0,12,0,0,0
OR51A7,0,0,0,0,0,0,0,12,0,0,0
RNU7-195P,0,0,0,0,0,0,0,12,0,0,0
RNU6-307P,0,6,0,0,0,4,0,0,0,0,0
AC012417.1,0,6,0,0,0,4,0,0,0,0,0
AP003071.2,0,0,0,0,0,6,0,0,0,10,0
FAM8A6P,0,0,0,0,0,2,0,1,0,4,0
HIGD1AP12,0,0,0,3,0,0,0,0,0,1,0
ACMSD,0,0,0,3,0,0,0,0,0,1,0
RPL7AP22,0,0,0,0,0,0,0,0,0,12,0
AC078828.1,0,0,0,0,0,0,0,0,0,12,0
IRGM,0,0,0,0,0,0,0,0,0,12,0
AC005050.3,0,0,0,0,0,0,0,0,0,12,0
AL451065.1,0,0,0,0,0,0,0,0,0,12,0
AL135998.3,0,0,0,0,0,0,0,0,0,12,0
AC091167.7,0,0,0,0,0,0,0,0,0,12,0
FGF7P1,0,0,0,0,0,0,0,0,0,12,0
RNA5SP203,0,0,0,1,0,12,0,0,0,0,0
XCL2,0,0,0,0,0,0,0,13,0,0,0
AC007557.3,0,0,0,0,0,0,0,13,0,0,0
AL391335.1,0,0,0,2,0,5,0,0,0,0,0
AL442071.1,0,0,0,8,0,0,0,0,0,0,0
AL138847.1,0,0,0,8,0,0,0,0,0,0,0
H3C13,0,0,0,8,0,0,0,0,0,0,0
AL121985.2,0,0,0,8,0,0,0,0,0,0,0
AL451047.1,0,0,0,8,0,0,0,0,0,0,0
MIR1301,0,0,0,8,0,0,0,0,0,0,0
TPM3P7,0,0,0,8,0,0,0,0,0,0,0
PPIL1P1,0,0,0,8,0,0,0,0,0,0,0
RNU6-577P,0,0,0,8,0,0,0,0,0,0,0
SIX3,0,0,0,8,0,0,0,0,0,0,0
RNU6-433P,0,0,0,8,0,0,0,0,0,0,0
AC018880.1,0,0,0,8,0,0,0,0,0,0,0
AC114755.1,0,0,0,8,0,0,0,0,0,0,0
AC108463.2,0,0,0,8,0,0,0,0,0,0,0
AC110769.3,0,0,0,8,0,0,0,0,0,0,0
RPL30P2,0,0,0,8,0,0,0,0,0,0,0
AC005540.1,0,0,0,8,0,0,0,0,0,0,0
AC007563.1,0,0,0,8,0,0,0,0,0,0,0
MIR3134,0,0,0,8,0,0,0,0,0,0,0
AC092042.1,0,0,0,8,0,0,0,0,0,0,0
LINC01839,0,0,0,8,0,0,0,0,0,0,0
AC026402.1,0,0,0,8,0,0,0,0,0,0,0
AC024032.2,0,0,0,8,0,0,0,0,0,0,0
AC097658.3,0,0,0,8,0,0,0,0,0,0,0
RNU6-806P,0,0,0,8,0,0,0,0,0,0,0
ATG10-IT1,0,0,0,8,0,0,0,0,0,0,0
RNU6-482P,0,0,0,8,0,0,0,0,0,0,0
NPM1P10,0,0,0,8,0,0,0,0,0,0,0
Z98742.3,0,0,0,8,0,0,0,0,0,0,0
AC008080.2,0,0,0,8,0,0,0,0,0,0,0
AC112497.1,0,0,0,8,0,0,0,0,0,0,0
CXorf65,0,0,0,8,0,0,0,0,0,0,0
RNA5SP515,0,0,0,8,0,0,0,0,0,0,0
AC021915.2,0,0,0,8,0,0,0,0,0,0,0
AP003467.1,0,0,0,8,0,0,0,0,0,0,0
RNU6-1255P,0,0,0,8,0,0,0,0,0,0,0
AC108002.2,0,0,0,8,0,0,0,0,0,0,0
GLIS3-AS1,0,0,0,8,0,0,0,0,0,0,0
AL590233.1,0,0,0,8,0,0,0,0,0,0,0
AC068733.3,0,0,0,8,0,0,0,0,0,0,0
AP001767.1,0,0,0,8,0,0,0,0,0,0,0
AP000941.1,0,0,0,8,0,0,0,0,0,0,0
AP000920.1,0,0,0,8,0,0,0,0,0,0,0
AL139280.1,0,0,0,8,0,0,0,0,0,0,0
RN7SL398P,0,0,0,8,0,0,0,0,0,0,0
AC016954.1,0,0,0,8,0,0,0,0,0,0,0
RNU7-4P,0,0,0,8,0,0,0,0,0,0,0
RNU6-977P,0,0,0,8,0,0,0,0,0,0,0
RN7SL166P,0,0,0,8,0,0,0,0,0,0,0
ZDHHC4P1,0,0,0,8,0,0,0,0,0,0,0
RPL21P110,0,0,0,8,0,0,0,0,0,0,0
MTND5P2,0,0,0,8,0,0,0,0,0,0,0
LINC00637,0,0,0,8,0,0,0,0,0,0,0
AC090651.1,0,0,0,8,0,0,0,0,0,0,0
AC004494.1,0,0,0,8,0,0,0,0,0,0,0
AC009044.1,0,0,0,8,0,0,0,0,0,0,0
AC009159.4,0,0,0,8,0,0,0,0,0,0,0
AC244093.1,0,0,0,8,0,0,0,0,0,0,0
MIR378J,0,0,0,8,0,0,0,0,0,0,0
AC091152.1,0,0,0,8,0,0,0,0,0,0,0
AC015802.1,0,0,0,8,0,0,0,0,0,0,0
AP000919.2,0,0,0,8,0,0,0,0,0,0,0
ACP4,0,0,0,8,0,0,0,0,0,0,0
AL022238.1,0,0,0,8,0,0,0,0,0,0,0
AC108102.1,0,0,0,2,0,2,0,0,0,1,0
AC105036.3,0,6,0,0,0,7,0,0,0,0,0
AC241585.3,0,7,0,0,0,2,0,0,0,0,0
KRT42P,0,6,0,0,0,8,0,0,0,0,0
AL096803.3,0,0,0,4,0,0,0,7,0,0,0
AQP2,0,0,0,0,0,10,0,0,0,10,0
AL162585.1,0,6,0,0,0,2,0,0,0,2,0
CERNA1,0,0,0,0,0,4,0,0,0,12,0
RNU6-960P,0,0,0,0,0,0,0,14,0,0,0
TMEM35A,0,0,0,0,0,0,0,14,0,0,0
LINC02729,0,0,0,0,0,0,0,14,0,0,0
AP000696.2,0,0,0,0,0,0,0,14,0,0,0
SFRP1,0,0,0,0,0,10,0,2,0,0,0
FTLP6,0,0,0,3,0,3,0,0,0,0,0
