Genes,1_24h_inf,1_2d_inf,1_3h_inf,1_3h_un,2_24h_inf,2_2d_inf,2_3h_inf,2_3h_un,3_24h_inf,3_3h_inf,3_3h_un
SRIP3,6,6,0,0,9,10,0,0,18,12,0
MLC1,18,14,0,0,4,9,0,2,2,0,0
LRP11,38,44,0,10,191,169,0,12,126,10,10
LINC01366,13,2,0,0,4,18,0,0,10,0,0
AL589843.1,22,2,0,18,65,59,0,0,28,32,3
MBOAT4,2,4,0,0,21,4,0,0,16,0,0
RNU6-1004P,16,2,0,8,8,0,0,0,2,10,0
AC090907.2,4,0,0,0,26,24,0,0,9,0,0
AL354707.1,4,6,0,8,30,30,0,0,6,0,0
MTMR11,6,0,0,0,34,2,0,2,0,0,0
AC106800.2,0,0,0,4,38,11,0,0,7,0,0
AC096642.2,0,2,0,6,45,80,0,0,2,0,0
ALOX12P2,0,2,0,7,22,29,0,0,18,0,0
CD38,1360,289,6,19,799,1146,14,12,2156,185,130
AC092068.1,8,6,0,0,3,0,0,0,18,0,0
ANKK1,10,0,0,4,34,18,0,0,18,33,1
AL161725.2,2,0,0,0,20,2,0,0,16,0,0
AC026688.1,15,0,0,0,8,9,0,0,3,1,0
AL590282.2,12,0,0,0,2,0,0,0,12,0,0
AC013356.2,0,0,0,0,30,26,0,0,12,0,0
GPR37,4,0,0,0,6,8,0,0,22,0,0
LINC02694,4,0,0,0,16,0,0,0,60,20,2
AC055764.2,4,6,0,0,0,0,0,0,26,4,0
MRPS18AP1,9,0,0,12,21,26,0,0,3,6,0
C11orf16,7,2,0,20,7,14,0,0,16,0,0
FST,0,2,0,0,16,14,0,1,21,11,0
LHFPL1,0,0,0,0,32,12,0,0,10,6,0
GXYLT2,6,0,0,0,32,10,0,0,0,1,0
ABCG4,10,2,1,2,68,16,0,0,9,0,0
TNFRSF11B,3,0,0,0,16,0,0,0,16,2,0
OMP,0,2,0,0,30,4,0,0,11,2,0
AC024575.1,16,8,0,8,20,38,0,0,16,8,1
CSNK1G2-AS1,8,0,0,0,4,0,0,0,16,0,0
APCDD1L-DT,10,8,0,0,22,2,0,26,0,4,0
AC008147.4,0,0,0,0,11,5,0,0,24,0,0
AP003696.1,10,0,0,8,0,11,0,0,15,5,0
AL121877.1,2,0,0,0,16,15,0,0,17,0,0
AC009562.1,8,1,0,0,26,15,0,0,0,0,0
ETNK2,0,2,0,0,20,2,0,36,17,2,0
TAS2R5,2,0,0,18,31,40,0,0,6,4,0
FRG1-DT,22,20,0,16,44,152,0,0,11,6,2
NBEAP1,12,11,0,0,12,8,0,0,3,0,0
AC074194.2,0,8,0,3,24,10,0,20,14,0,0
