"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL14",32197.0416376486,14.9746405147599,0.203225925485334,73.6846958821726,0,0
"LMNA",32080.7753392036,14.9694213893132,0.340612001714012,43.9486022629408,0,0
"ARPC3",31922.3044943967,14.9622771840743,0.157480076400718,95.010604046202,0,0
"ABHD12",31768.7875991406,14.9553224126892,0.0917793423336952,162.948677037955,0,0
"ATP6AP2",31717.0296292159,14.9529700452994,0.154028656887045,97.0791432419296,0,0
"RNF130",31699.9906914369,14.9521947962731,0.0960333890848543,155.697876944252,0,0
"TNFRSF1B",31451.5516793573,14.940843574552,0.171620146199998,87.0576322498915,0,0
"GNAI2",31360.6462373981,14.9366676683994,0.0966199339413011,154.591987999844,0,0
"ARPC2",31309.5155048705,14.9343135633972,0.0960894300860995,155.420981787649,0,0
"TUBB",31186.5108986508,14.928634534673,0.191394049767238,77.9994704789847,0,0
"PLXND1",31088.3705647217,14.9240873822111,0.153809785581187,97.029505150266,0,0
"IGSF6",30963.2371144009,14.9182686883948,0.163344230269953,91.3302457254834,0,0
"NPC2",30798.9197903825,14.9105921317558,0.124012013109108,120.235062377684,0,0
"FTH1P8",30752.8141471395,14.9084308150536,0.154369174976968,96.5764753052407,0,0
"SLC25A3",30666.3904242431,14.9043707442794,0.12463299617461,119.586074328169,0,0
"RPS25",30542.8418952001,14.8985466852128,0.157471171013028,94.6112649659544,0,0
"SERPINF1",30460.5379219865,14.8946537990677,0.139342670538369,106.892265962179,0,0
"MFSD1",30014.5470817732,14.8733742774723,0.193449531230626,76.8850365408256,0,0
"AKR1B1",29841.2925037575,14.865022403359,0.124413993100556,119.480309512649,0,0
"UQCRB",29727.7876115095,14.8595244791667,0.183142105185285,81.1365822410596,0,0
"CD44",29409.8569690207,14.8440121474335,0.126112249604317,117.704760592308,0,0
"CAP1",29248.4472006018,14.8360724136316,0.104073011713467,142.554464114848,0,0
"CD163",28915.2236446777,14.8195416402328,0.32401410568499,45.7373348265292,0,0
"ATP6V0B",28792.4366170343,14.8134022645454,0.157544468052308,94.0268004816711,0,0
